"hhsize","nInfContacts","nContacts","sim"
5,67,180,166
6,39,100,166
7,23,54,166
8,37,63,166
12,7,11,166
2,16,32,167
3,32,82,167
4,42,144,167
5,59,180,167
6,36,100,167
7,23,54,167
8,26,63,167
12,2,11,167
2,9,32,168
3,32,82,168
4,44,144,168
5,56,180,168
6,48,100,168
7,17,54,168
8,23,63,168
12,6,11,168
2,10,32,169
3,36,82,169
4,41,144,169
5,67,180,169
6,42,100,169
7,29,54,169
8,27,63,169
12,1,11,169
2,11,32,170
3,26,82,170
4,42,144,170
5,49,180,170
6,38,100,170
7,29,54,170
8,26,63,170
12,5,11,170
2,10,32,171
3,37,82,171
4,38,144,171
5,58,180,171
6,29,100,171
7,25,54,171
8,28,63,171
12,2,11,171
2,11,32,172
3,34,82,172
4,49,144,172
5,77,180,172
6,40,100,172
7,21,54,172
8,30,63,172
12,3,11,172
2,8,32,173
3,27,82,173
4,29,144,173
5,80,180,173
6,40,100,173
7,26,54,173
8,31,63,173
12,3,11,173
2,16,32,174
3,28,82,174
4,51,144,174
5,65,180,174
6,36,100,174
7,24,54,174
8,23,63,174
12,0,11,174
2,7,32,175
3,21,82,175
4,31,144,175
5,63,180,175
6,38,100,175
7,25,54,175
8,27,63,175
12,1,11,175
2,12,32,176
3,30,82,176
4,45,144,176
5,61,180,176
6,34,100,176
7,17,54,176
8,34,63,176
12,3,11,176
2,12,32,177
3,27,82,177
4,41,144,177
5,68,180,177
6,30,100,177
7,25,54,177
8,24,63,177
12,4,11,177
2,12,32,178
3,21,82,178
4,45,144,178
5,61,180,178
6,34,100,178
7,21,54,178
8,28,63,178
12,3,11,178
2,11,32,179
3,30,82,179
4,37,144,179
5,55,180,179
6,33,100,179
7,22,54,179
8,20,63,179
12,1,11,179
2,12,32,180
3,43,82,180
4,46,144,180
5,75,180,180
6,29,100,180
7,27,54,180
8,29,63,180
12,1,11,180
2,11,32,181
3,28,82,181
4,43,144,181
5,70,180,181
6,39,100,181
7,30,54,181
8,27,63,181
12,3,11,181
2,12,32,182
3,31,82,182
4,36,144,182
5,69,180,182
6,28,100,182
7,21,54,182
8,26,63,182
12,4,11,182
2,16,32,183
3,25,82,183
4,32,144,183
5,57,180,183
6,38,100,183
7,15,54,183
8,23,63,183
12,5,11,183
2,8,32,184
3,25,82,184
4,51,144,184
5,70,180,184
6,42,100,184
7,25,54,184
8,21,63,184
12,1,11,184
2,10,32,185
3,21,82,185
4,39,144,185
5,69,180,185
6,40,100,185
7,21,54,185
8,16,63,185
12,3,11,185
2,13,32,186
3,22,82,186
4,35,144,186
5,70,180,186
6,37,100,186
7,22,54,186
8,23,63,186
12,2,11,186
2,7,32,187
3,25,82,187
4,40,144,187
5,56,180,187
6,41,100,187
7,33,54,187
8,32,63,187
12,2,11,187
2,10,32,188
3,24,82,188
4,49,144,188
5,49,180,188
6,45,100,188
7,28,54,188
8,18,63,188
12,1,11,188
2,8,32,189
3,26,82,189
4,33,144,189
5,61,180,189
6,32,100,189
7,19,54,189
8,22,63,189
12,1,11,189
2,10,32,190
3,27,82,190
4,50,144,190
5,64,180,190
6,36,100,190
7,16,54,190
8,35,63,190
12,1,11,190
2,10,32,191
3,26,82,191
4,40,144,191
5,46,180,191
6,43,100,191
7,21,54,191
8,30,63,191
12,5,11,191
2,12,32,192
3,28,82,192
4,40,144,192
5,68,180,192
6,38,100,192
7,29,54,192
8,31,63,192
12,4,11,192
2,13,32,193
3,29,82,193
4,39,144,193
5,69,180,193
6,39,100,193
7,27,54,193
8,29,63,193
12,0,11,193
2,11,32,194
3,31,82,194
4,34,144,194
5,64,180,194
6,38,100,194
7,25,54,194
8,26,63,194
12,2,11,194
2,7,32,195
3,27,82,195
4,45,144,195
5,56,180,195
6,30,100,195
7,24,54,195
8,26,63,195
12,0,11,195
2,15,32,196
3,31,82,196
4,53,144,196
5,66,180,196
6,35,100,196
7,10,54,196
8,30,63,196
12,3,11,196
2,16,32,197
3,26,82,197
4,39,144,197
5,54,180,197
6,42,100,197
7,26,54,197
8,30,63,197
12,3,11,197
2,12,32,198
3,31,82,198
4,47,144,198
5,66,180,198
6,35,100,198
7,23,54,198
8,29,63,198
12,1,11,198
2,11,32,199
3,22,82,199
4,49,144,199
5,69,180,199
6,42,100,199
7,19,54,199
8,30,63,199
12,3,11,199
2,14,32,200
3,27,82,200
4,36,144,200
5,50,180,200
6,37,100,200
7,24,54,200
8,22,63,200
12,1,11,200
2,14,32,201
3,26,82,201
4,40,144,201
5,57,180,201
6,39,100,201
7,18,54,201
8,31,63,201
12,3,11,201
2,12,32,202
3,24,82,202
4,44,144,202
5,58,180,202
6,48,100,202
7,20,54,202
8,33,63,202
12,2,11,202
2,12,32,203
3,26,82,203
4,45,144,203
5,55,180,203
6,37,100,203
7,23,54,203
8,28,63,203
12,3,11,203
2,12,32,204
3,29,82,204
4,36,144,204
5,77,180,204
6,43,100,204
7,19,54,204
8,31,63,204
12,4,11,204
2,14,32,205
3,36,82,205
4,40,144,205
5,64,180,205
6,31,100,205
7,26,54,205
8,34,63,205
12,8,11,205
2,15,32,206
3,29,82,206
4,44,144,206
5,53,180,206
6,39,100,206
7,22,54,206
8,33,63,206
12,1,11,206
2,12,32,207
3,28,82,207
4,40,144,207
5,56,180,207
6,32,100,207
7,23,54,207
8,26,63,207
12,1,11,207
2,10,32,208
3,35,82,208
4,33,144,208
5,64,180,208
6,35,100,208
7,21,54,208
8,25,63,208
12,2,11,208
2,12,32,209
3,27,82,209
4,39,144,209
5,61,180,209
6,31,100,209
7,19,54,209
8,25,63,209
12,0,11,209
2,9,32,210
3,27,82,210
4,42,144,210
5,66,180,210
6,43,100,210
7,21,54,210
8,27,63,210
12,0,11,210
2,13,32,211
3,31,82,211
4,41,144,211
5,75,180,211
6,44,100,211
7,27,54,211
8,28,63,211
12,2,11,211
2,16,32,212
3,31,82,212
4,30,144,212
5,62,180,212
6,39,100,212
7,23,54,212
8,26,63,212
12,4,11,212
2,12,32,213
3,34,82,213
4,47,144,213
5,50,180,213
6,45,100,213
7,25,54,213
8,34,63,213
12,1,11,213
2,9,32,214
3,23,82,214
4,35,144,214
5,49,180,214
6,41,100,214
7,28,54,214
8,21,63,214
12,7,11,214
2,9,32,215
3,22,82,215
4,34,144,215
5,60,180,215
6,33,100,215
7,27,54,215
8,29,63,215
12,3,11,215
2,10,32,216
3,20,82,216
4,35,144,216
5,58,180,216
6,30,100,216
7,22,54,216
8,25,63,216
12,3,11,216
2,12,32,217
3,34,82,217
4,45,144,217
5,77,180,217
6,34,100,217
7,22,54,217
8,24,63,217
12,4,11,217
2,14,32,218
3,32,82,218
